Name,Description,SKU,Gender, Attribute 1,Attribute 1 Value, Attribute 2,Attribute 2 Value, Attribute 3,Attribute 3 Value,Base Image 1 ,Base Image 2,Base Image 3,Base Image 4,Base Image 5,Base Price(USD),Sale Price(USD),Quantity,Unit of Weight,Weight,Unit of Dimensions,Height,Width,Length,SEO Title,SEO Description,Vendor,Parent SKU
Snus Adventskalender 2022,"<p data-mce-fragment=""1""><span style=""color: #80ff00;""><strong data-mce-fragment=""1"">AB LAGER VERFÜGBAR!! </strong> </span></p>
<p data-mce-fragment=""1""> <strong data-mce-fragment=""1"">GRÖSSER,GÜNSTIGER<span data-mce-fragment=""1""> </span>und mehr<span data-mce-fragment=""1""> </span>INHALT!</strong><br data-mce-fragment=""1""><span data-mce-fragment=""1"">In diesem Jahr bringt dir unser Adventskalender um einiges mehr!</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Der Adventskalender ist um einiges Grösser, Günstiger und sogar noch mehr drinnen.</span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Kurz Beschrieb:</strong></p>
<p data-mce-fragment=""1"">Dieser Kalender ist spezielle für die besinnliche Adventszeit und bietet dir jeden Tag eine andere Snusüberraschung. Das Kalenderbild zeigt dir die warme Stube, in welcher der schön geschmückte Weihnachtsbaum und viele Geschenke auf dich warten. Der Snus darf natürlich auch nicht fehlen.</p>
<p data-mce-fragment=""1"">Mit dem Kalender erhältst du:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">einen 24 Türchen Adventskalender</li>
<li data-mce-fragment=""1"">24 verschiedene Snussorten</li>
<li data-mce-fragment=""1"">Pro Türchen sind mind. zwei Snusbeutel</li>
<li data-mce-fragment=""1"">viel Gelächter und eine besinnliche Wärme in der Nase</li>
</ul>
<p><strong>Für unsere Umwelt</strong></p>
<p>Karton:<span> </span>99% aus Recyceltem Karton<br>Kunststoff: 90% aus <span data-mce-fragment=""1"">Recyceltem Kunststoff</span></p>
<p><strong>Umweltsiegel:</strong></p>
<p>FSC, Wälder für immer für alle und GoGreen </p>
<p> </p>
<p>* Der Adventskalender Wurde 2022 Verkauft die übrigen werden zum Sonderpreis von 9.95.- verkauft Die Gefahr besteht dass wenige Beutel weniger Feuchtigkeit haben.</p>
<p>Die kalender können nicht umgetauscht werden da es ein Restposten ist &amp; mit dem Motto Verwenden statt Verschwenden.</p>",Snus Adventskalender 2022,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0281/7546/6627/products/image_44390af0-4ecf-4c56-b696-15dc17a2df0d.jpg,,,,,49.90,9.95,1,G,1000,IN,3,3,3,,,,
,,650,Unisex,Title,Default Title,,,,,,,,,,49.90,9.95,1,G,1000,IN,3,3,3,,,Snus-King.ch,Snus Adventskalender 2022
Schnupf Adventskalender 2022,"<p data-mce-fragment=""1""><span style=""color: #80ff00;""><strong>AB LAGER VERFÜGBAR!! </strong></span><br></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><span style=""color: #000000;""><strong>Bis wann erhalte ich den Kalender noch vor dem 01.12.2022?</strong></span><br><strong></strong></p>
<p data-mce-fragment=""1""><strong>Schweiz: <span style=""color: #ff2a00;"">1 Werktag nach Zahlungseingang!</span></strong></p>
<p data-mce-fragment=""1""><strong>EU Bestellungen:</strong><span> <span style=""text-decoration: underline;""><span style=""color: #ff2a00;""><strong>Nicht Lieferbar!</strong></span></span></span></p>
<p data-mce-fragment=""1""><br><span></span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong>GRÖSSER,GÜNSTIGER und mehr INHALT!</strong><br>In diesem Jahr bringt dir unser Adventskalender um einiges mehr!<br>Der Adventskalender ist um einiges Grösser, Günstiger und sogar noch mehr drinnen.</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Kurz Beschrieb:</strong></p>
<p><span>Dieser Kalender ist spezielle für die besinnliche Adventszeit und bietet dir jeden Tag eine andere Schnupfüberraschung. Das Kalenderbild zeigt dir die warme Stube, in welcher der schön geschmückte Weihnachtsbaum und viele Geschenke auf dich warten. Der Schnupf darf natürlich auch nicht fehlen.</span></p>
<p>Mit dem Kalender erhältst du:</p>
<ul>
<li>einen 24 Türchen Adventskalender</li>
<li>24 verschiedene Schnupfsorten</li>
<li>ein Schnupf sind ca. 3-4 Portionen</li>
<li>viel Gelächter und eine besinnliche Wärme in der Nase</li>
</ul>
<p><strong>Für unsere Umwelt</strong></p>
<p>Karton: 99% aus Recyceltem Karton<br>Kunststoff: 90% aus <span data-mce-fragment=""1"">Recyceltem Kunststoff</span></p>
<p><strong>Umweltsiegel:</strong></p>
<p>FSC, Wälder für immer für alle und GoGreen </p>
<p> </p>
<p>Mit diesem Kalender wollen wir die Tradition des Weihnachtsschnupfens wieder aufleben lassen, welche das Gemeinschaftsgefühl bestärken. Dieser Schnupf-Adventskalender ist speziell für die Adventszeit entworfen worden um das stressige Jahr gemütlich abschliessen zu können. Hinter jedem Türchen erwartet dich ein anderer Schnupf . Bilde mit deinen liebsten eine Gruppe und macht ein Ritual daraus und hol möglichst viele dazu.</p>
<p>Schnupft und lacht gemeinsam und geniesst die Adventszeit. Diese Momente und Erlebnisse könnt ihr täglich auf Social Media mit uns<span> </span>teilen. (snusstar.ch) Wir freuen uns über möglichst viele verschiedene Bilder und Videos.</p>
<p><strong>Für Allergiker</strong></p>
<p>Dieses Produkt kann Spuren von guter Stimmung, Gemeinschaft und Gelächter enthalten. Dieses Produkt ist vegan, laktosefrei, glutenfrei und pädagogisch sehr wertvoll.</p>
<p>Falls du auf einen dieser Inhaltsstoffe allergisch reagierst, raten ich dir dringend vom Kauf ab und schnellstmöglich einen Notarzt aufzusuchen.</p>
<p> </p>
<ul data-mce-fragment=""1""></ul>",Schnupf Adventskalender 2022,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0281/7546/6627/products/image_52085e83-a31a-4615-977e-a697c6044379.jpg,,,,,39.90,19.95,1,G,1000,IN,3,3,3,,,,
,,651,Unisex,Title,Default Title,,,,,,,,,,39.90,19.95,1,G,1000,IN,3,3,3,,,Snus-King.ch,Schnupf Adventskalender 2022
Snus Adventskalender 2022,"<p data-mce-fragment=""1""><span style=""color: #80ff00;""><strong data-mce-fragment=""1"">AB LAGER VERFÜGBAR!! </strong> </span></p>
<p data-mce-fragment=""1""> <strong data-mce-fragment=""1"">GRÖSSER,GÜNSTIGER<span data-mce-fragment=""1""> </span>und mehr<span data-mce-fragment=""1""> </span>INHALT!</strong><br data-mce-fragment=""1""><span data-mce-fragment=""1"">In diesem Jahr bringt dir unser Adventskalender um einiges mehr!</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Der Adventskalender ist um einiges Grösser, Günstiger und sogar noch mehr drinnen.</span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Kurz Beschrieb:</strong></p>
<p data-mce-fragment=""1"">Dieser Kalender ist spezielle für die besinnliche Adventszeit und bietet dir jeden Tag eine andere Snusüberraschung. Das Kalenderbild zeigt dir die warme Stube, in welcher der schön geschmückte Weihnachtsbaum und viele Geschenke auf dich warten. Der Snus darf natürlich auch nicht fehlen.</p>
<p data-mce-fragment=""1"">Mit dem Kalender erhältst du:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">einen 24 Türchen Adventskalender</li>
<li data-mce-fragment=""1"">24 verschiedene Snussorten</li>
<li data-mce-fragment=""1"">Pro Türchen sind mind. zwei Snusbeutel</li>
<li data-mce-fragment=""1"">viel Gelächter und eine besinnliche Wärme in der Nase</li>
</ul>
<p><strong>Für unsere Umwelt</strong></p>
<p>Karton:<span> </span>99% aus Recyceltem Karton<br>Kunststoff: 90% aus <span data-mce-fragment=""1"">Recyceltem Kunststoff</span></p>
<p><strong>Umweltsiegel:</strong></p>
<p>FSC, Wälder für immer für alle und GoGreen </p>
<p> </p>
<p>* Der Adventskalender Wurde 2022 Verkauft die übrigen werden zum Sonderpreis von 9.95.- verkauft Die Gefahr besteht dass wenige Beutel weniger Feuchtigkeit haben.</p>
<p>Die kalender können nicht umgetauscht werden da es ein Restposten ist &amp; mit dem Motto Verwenden statt Verschwenden.</p>",Snus Adventskalender 2022,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0281/7546/6627/products/image_44390af0-4ecf-4c56-b696-15dc17a2df0d.jpg,,,,,49.90,9.95,1,G,1000,IN,3,3,3,,,,
,,650,Unisex,Title,Default Title,,,,,,,,,,49.90,9.95,1,G,1000,IN,3,3,3,,,Snus-King.ch,Snus Adventskalender 2022
200g Box SIBERIA -80°C SLIM WHITE DRY Slim,,200g Box SIBERIA -80°C SLIM WHITE DRY Slim,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0281/7546/6627/products/image_3eeacc07-7d9d-4905-a331-5d3dd48a72ed.jpg,,,,,104.00,29.95,1,G,200,IN,3,3,3,,,,
,,9010,Unisex,Title,Default Title,,,,,,,,,,104.00,29.95,1,G,200,IN,3,3,3,,,Snus-Star.ch,200g Box SIBERIA -80°C SLIM WHITE DRY Slim
200g Box Scooper Energy Iced Cola,,200g Box Scooper Energy Iced Cola,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0281/7546/6627/products/image_98f51e11-9d3d-4e08-9617-e89d86b951cd.jpg,,,,,104.00,29.95,1,G,200,IN,3,3,3,,,,
,,9032,Unisex,Title,Default Title,,,,,,,,,,104.00,29.95,1,G,200,IN,3,3,3,,,Snus-Star.ch,200g Box Scooper Energy Iced Cola
200g Box Supreme Mint Lime,,200g Box Supreme Mint Lime,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0281/7546/6627/products/image_e1ae4e93-075e-4f6f-ab14-cb9b8219e775.jpg,,,,,104.00,29.95,1,G,200,IN,3,3,3,,,,
,,9031,Unisex,Title,Default Title,,,,,,,,,,104.00,29.95,1,G,200,IN,3,3,3,,,Snus-Star.ch,200g Box Supreme Mint Lime
200g Box Scooper Energy Fresh Mint,,200g Box Scooper Energy Fresh Mint,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0281/7546/6627/products/image_f7e23071-2e58-4e0c-b310-5ea385a02c52.jpg,,,,,104.00,29.95,1,G,200,IN,3,3,3,,,,
,,9015,Unisex,Title,Default Title,,,,,,,,,,104.00,29.95,1,G,200,IN,3,3,3,,,Snus-Star.ch,200g Box Scooper Energy Fresh Mint
200g Box ODENS COLD DRY EXTREME WHITE,,200g Box ODENS COLD DRY EXTREME WHITE,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0281/7546/6627/products/image_8892694b-da68-449b-8cb8-34f54f710445.jpg,,,,,104.00,29.95,1,G,200,IN,3,3,3,,,,
